n_elements,n_runs,pc1,pc2,pc1_pc2_sum,pc1_to_pc5_sum,elbow_pc,task,condition
25,5,0.1605425477027893,0.13941587507724762,0.29995840787887573,0.5348494648933411,17,A,N
25,5,0.18625092506408691,0.16503824293613434,0.35128915309906006,0.5833731889724731,16,A,P
25,5,0.31610244512557983,0.08794686943292618,0.4040493071079254,0.6046393513679504,16,B,N
25,5,0.2856738269329071,0.12071480602025986,0.40638864040374756,0.6103718876838684,16,B,P
25,5,0.16812382638454437,0.14233382046222687,0.31045764684677124,0.554943859577179,16,C,N
25,5,0.1771870106458664,0.15125660598278046,0.32844361662864685,0.592258095741272,16,C,P
25,5,0.2771165668964386,0.13405047357082367,0.4111670255661011,0.6430307030677795,16,D,N
25,5,0.22683930397033691,0.12887880206108093,0.35571810603141785,0.5648154616355896,17,D,P
25,5,0.24893252551555634,0.14952881634235382,0.39846134185791016,0.5983218550682068,16,E,N
25,5,0.18768112361431122,0.1592254638671875,0.3469066023826599,0.5913570523262024,16,E,P
25,5,0.1422087401151657,0.1237654909491539,0.265974223613739,0.49494752287864685,17,F,N
25,5,0.16880041360855103,0.13618025183677673,0.30498066544532776,0.5466762781143188,17,F,P
25,5,0.19482506811618805,0.11908643692731857,0.313911497592926,0.5194356441497803,17,G,N
25,5,0.19915758073329926,0.1518656462430954,0.35102322697639465,0.5700534582138062,16,G,P
