task,n_cross_cells,cross_mean,cross_lo95,cross_hi95,n_pilot_cells,pilot_mean,pilot_lo95,pilot_hi95,delta_cross_minus_pilot,delta_lo95,delta_hi95,ci_excludes_zero
A,10,0.6623559163059164,0.4999744246031746,0.8523725270562771,6,0.21788888888888888,0.1526666666666667,0.28072777777777774,0.4444670274170275,0.2708170995670997,0.6409471374458874,True
B,10,0.3422518228148662,0.23473917614993703,0.4348328255078255,6,0.22388888888888892,0.18911111111111112,0.2573416666666667,0.1183629339259773,0.014423750464511245,0.21809224136974137,True
C,10,0.5118810485810485,0.45229552128427125,0.5755085353535353,6,0.19166666666666668,0.14082777777777777,0.23744444444444446,0.3202143819143819,0.24685180435305432,0.4007362043049543,True
D,10,0.3713629148629149,0.27533175505050506,0.4698109397546898,6,0.212962962962963,0.17074074074074078,0.25722222222222224,0.1583999518999519,0.05662528258778249,0.2591512896825396,True
E,10,0.41473376623376623,0.32612513528138537,0.4984921807359307,6,0.1618888888888889,0.11166666666666665,0.20633333333333334,0.2528448773448774,0.1503970057720058,0.35432703823953826,True
F,10,0.5356153707403707,0.44372695984570987,0.6447607305888555,6,0.2288888888888889,0.19374722222222224,0.2624611111111111,0.30672648185148177,0.20468004426129432,0.41826460137085136,True
G,10,0.49687145262145255,0.3478558351370852,0.6689897546897544,6,0.20777777777777776,0.1827777777777778,0.22877777777777777,0.28909367484367476,0.14215498136123142,0.44979476010101,True
