cell_id,task,condition,run_idx,phase,model_short_name,persona_or_neutral,model_id_used,used_fallback,attempts,latency_ms,timestamp_iso,prompt_tokens,completion_tokens,cost_usd
C_P_run1,C,P,1,phase1_freeresponse,M4,Q,deepseek/deepseek-v4-pro,False,1,22460,2026-05-20T01:10:30.050292,550,473,0.00065076
C_P_run1,C,P,1,phase1_freeresponse,M5,S,moonshotai/kimi-k2.5,True,5,29821,2026-05-20T01:10:52.525676,555,1186,0.0024754
C_P_run1,C,P,1,phase3_constructs,M1,E,anthropic/claude-opus-4.7,False,1,5602,2026-05-20T01:13:34.729935,1235,281,0.0132
C_P_run1,C,P,1,phase3_constructs,M2,H,openai/gpt-5.5,False,1,14594,2026-05-20T01:13:40.345760,760,596,0.02168
C_P_run1,C,P,1,phase3_constructs,M3,C,google/gemini-3.1-pro-preview,False,1,7000,2026-05-20T01:13:54.958728,761,596,0.008674000000000001
C_P_run1,C,P,1,phase3_constructs,M4,Q,deepseek/deepseek-v4-pro,False,1,252753,2026-05-20T01:14:01.976105,751,7656,0.006987405
C_P_run1,C,P,1,phase4_ratings,M1,E,anthropic/claude-opus-4.7,False,1,4907,2026-05-20T01:20:32.953914,1650,400,0.018250000000000002
C_P_run1,C,P,1,phase4_ratings,M2,H,openai/gpt-5.4,True,4,4498,2026-05-20T01:20:37.879734,1013,400,0.0085325
C_P_run1,C,P,1,phase4_ratings,M3,C,google/gemini-3.1-pro-preview,False,1,4126,2026-05-20T01:21:14.277303,1046,396,0.006844
C_P_run1,C,P,1,phase4_ratings,M4,Q,deepseek/deepseek-v4-pro,False,1,94576,2026-05-20T01:21:18.422733,1002,4658,0.00448833
